45,63
47,44
50,37
51,57
59,55
62,70
78,60
87,50
88,37
98,39
101,88
106,51
140,73
141,156
145,23
146,66
159,77
164,51
165,54
187,70
197,35
206,48
216,66
230,49
237,47
243,72
249,19
264,49
267,36
268,98
292,53
301,99
307,29
308,99
316,112
337,82
386,68
392,71
407,57
413,68
449,106
451,69
471,42
497,40
501,55
505,73
517,30
533,40
538,48
550,47
558,25
573,37
577,68
580,67
582,69
616,32
626,49
627,63
631,40
633,53
642,85
655,68
656,55
671,77
674,55
686,70
692,40
704,46
707,42
708,62
754,63
763,81
771,52
791,69
798,38
805,53
807,70
821,34
828,55
837,79
838,53
845,45
862,35
864,41
871,64
882,49
888,68
900,40
922,39
943,60
951,28
962,51
970,69
981,29
983,70
997,51
